rung,cell                   n med_total       IQR  med_conn med_appconn  med_ttfb  (ms)
C,hdr_1k                   30    14.83     0.40     0.03       13.41    14.81
C,hdr_4k                   30    14.97     0.45     0.03       13.47    14.96
C,ka100_req1               30    14.93     0.30     0.04       13.64    14.92
C,ka100_req10              30     0.46     0.04     0.00        0.00     0.44
C,ka100_req100             30     0.44     0.04     0.00        0.00     0.43
C,ka100_req11              30     0.47     0.04     0.00        0.00     0.45
C,ka100_req12              30     0.46     0.04     0.00        0.00     0.45
C,ka100_req13              30     0.46     0.03     0.00        0.00     0.45
C,ka100_req14              30     0.46     0.05     0.00        0.00     0.44
C,ka100_req15              30     0.45     0.07     0.00        0.00     0.44
C,ka100_req16              30     0.45     0.06     0.00        0.00     0.44
C,ka100_req17              30     0.46     0.04     0.00        0.00     0.45
C,ka100_req18              30     0.46     0.05     0.00        0.00     0.45
C,ka100_req19              30     0.45     0.05     0.00        0.00     0.44
C,ka100_req2               30     0.45     0.05     0.00        0.00     0.44
C,ka100_req20              30     0.45     0.03     0.00        0.00     0.43
C,ka100_req21              30     0.45     0.04     0.00        0.00     0.44
C,ka100_req22              30     0.45     0.05     0.00        0.00     0.44
C,ka100_req23              30     0.46     0.04     0.00        0.00     0.43
C,ka100_req24              30     0.45     0.04     0.00        0.00     0.43
C,ka100_req25              30     0.45     0.05     0.00        0.00     0.44
C,ka100_req26              30     0.45     0.05     0.00        0.00     0.42
C,ka100_req27              30     0.46     0.04     0.00        0.00     0.43
C,ka100_req28              30     0.44     0.05     0.00        0.00     0.43
C,ka100_req29              30     0.45     0.05     0.00        0.00     0.43
C,ka100_req3               30     0.49     0.05     0.00        0.00     0.48
C,ka100_req30              30     0.45     0.03     0.00        0.00     0.43
C,ka100_req31              30     0.45     0.04     0.00        0.00     0.43
C,ka100_req32              30     0.45     0.04     0.00        0.00     0.43
C,ka100_req33              30     0.45     0.04     0.00        0.00     0.44
C,ka100_req34              30     0.43     0.05     0.00        0.00     0.43
C,ka100_req35              30     0.44     0.04     0.00        0.00     0.43
C,ka100_req36              30     0.44     0.03     0.00        0.00     0.42
C,ka100_req37              30     0.44     0.05     0.00        0.00     0.43
C,ka100_req38              30     0.44     0.05     0.00        0.00     0.43
C,ka100_req39              30     0.45     0.04     0.00        0.00     0.43
C,ka100_req4               30     0.49     0.05     0.00        0.00     0.48
C,ka100_req40              30     0.45     0.04     0.00        0.00     0.43
C,ka100_req41              30     0.44     0.04     0.00        0.00     0.43
C,ka100_req42              30     0.43     0.05     0.00        0.00     0.42
C,ka100_req43              30     0.44     0.04     0.00        0.00     0.42
C,ka100_req44              30     0.44     0.04     0.00        0.00     0.42
C,ka100_req45              30     0.44     0.04     0.00        0.00     0.43
C,ka100_req46              30     0.43     0.03     0.00        0.00     0.43
C,ka100_req47              30     0.44     0.05     0.00        0.00     0.43
C,ka100_req48              30     0.45     0.03     0.00        0.00     0.42
C,ka100_req49              30     0.44     0.05     0.00        0.00     0.43
C,ka100_req5               30     0.46     0.03     0.00        0.00     0.46
C,ka100_req50              30     0.44     0.04     0.00        0.00     0.42
C,ka100_req51              30     0.45     0.05     0.00        0.00     0.43
C,ka100_req52              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req53              30     0.45     0.04     0.00        0.00     0.45
C,ka100_req54              30     0.44     0.04     0.00        0.00     0.42
C,ka100_req55              30     0.44     0.03     0.00        0.00     0.43
C,ka100_req56              30     0.43     0.04     0.00        0.00     0.42
